UL_bitrate,DL_bitrate
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4672.368266479157,1635.3288932677049
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3894.4456053592103,1363.0559618757236
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3835.2097399856007,1342.3234089949601
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5328.019527097667,1864.8068344841834
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10645.763190657586,3726.017116730155
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
40918.71646694312,14321.550763430092
0.0,0.0
0.0,0.0
0.0,0.0
42160.65991877905,14756.230971572666
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4015.6813772153146,1405.48848202536
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4101.690245680375,1435.591585988131
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5079.991195225727,1777.9969183290043
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4999.565643998057,1749.8479753993197
0.0,0.0
0.0,0.0
0.0,0.0
43157.49818551696,15105.124364930934
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
18632.36958070044,6521.3293532451535
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5317.833710453208,1861.2417986586229
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5186.120093998254,1815.1420328993886
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
20675.03486638034,7236.262203233119
0.0,0.0
0.0,0.0
0.0,0.0
40255.39324279188,14089.387634977156
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
39407.4388793665,13792.603607778274
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5739.511062957709,2008.8288720351982
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1280.1331433819812,448.0466001836934
0.0,0.0
