key,value
created_at,2026-05-16T02:14:06
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,Autonomous obstacle-aware MPC tire-model sweep with sensor noise enabled.
command,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/autonomous_obstacle_tire_model_sweep.py --quick --base-port 34000
base_port,34000
base_seed,510
bumpiness,[0]
lead_in,5.0
models,"['pacejka', 'tmeasy', 'closed_loop_mlp']"
mpc_blind_obstacles,False
mppi_samples,384
nmpc_iter,8
obstacle_weight,5000.0
paths,['sinusoidal']
quick,True
rocks,5
safety_buffer,0.5
safety_flavor,'none'
seeds,1
shield_horizon,18
speed_cost_mode,'symmetric'
speed_weight,15.0
speeds,[5.0]
terrains,['clay']
time,8.0
timeout,220.0
