label,n_true,phi_true,seed,ok,wall_s,csv
rich0000_n0551_phi250,0.551,25.04,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0000_n0551_phi250_seed1.csv
rich0001_n0552_phi159,0.552,15.91,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0001_n0552_phi159_seed0.csv
rich0002_n0554_phi151,0.554,15.06,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0002_n0554_phi151_seed0.csv
rich0001_n0552_phi159,0.552,15.91,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0001_n0552_phi159_seed1.csv
rich0002_n0554_phi151,0.554,15.06,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0002_n0554_phi151_seed1.csv
rich0000_n0551_phi250,0.551,25.04,0,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0000_n0551_phi250_seed0.csv
rich0003_n0554_phi278,0.554,27.75,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0003_n0554_phi278_seed0.csv
rich0003_n0554_phi278,0.554,27.75,1,1,33.0,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0003_n0554_phi278_seed1.csv
rich0004_n0556_phi153,0.556,15.31,0,1,33.0,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0004_n0556_phi153_seed0.csv
rich0005_n0558_phi169,0.558,16.95,1,1,33.0,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0005_n0558_phi169_seed1.csv
rich0004_n0556_phi153,0.556,15.31,1,1,33.1,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0004_n0556_phi153_seed1.csv
rich0005_n0558_phi169,0.558,16.95,0,1,33.1,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0005_n0558_phi169_seed0.csv
rich0006_n0559_phi247,0.559,24.70,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0006_n0559_phi247_seed0.csv
rich0006_n0559_phi247,0.559,24.70,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0006_n0559_phi247_seed1.csv
rich0007_n0559_phi128,0.559,12.76,0,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0007_n0559_phi128_seed0.csv
rich0007_n0559_phi128,0.559,12.76,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0007_n0559_phi128_seed1.csv
rich0008_n0562_phi215,0.562,21.47,0,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0008_n0562_phi215_seed0.csv
rich0008_n0562_phi215,0.562,21.47,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0008_n0562_phi215_seed1.csv
rich0009_n0563_phi154,0.563,15.37,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0009_n0563_phi154_seed0.csv
rich0009_n0563_phi154,0.563,15.37,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0009_n0563_phi154_seed1.csv
rich0010_n0564_phi235,0.564,23.53,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0010_n0564_phi235_seed0.csv
rich0010_n0564_phi235,0.564,23.53,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0010_n0564_phi235_seed1.csv
rich0011_n0566_phi155,0.566,15.47,0,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0011_n0566_phi155_seed0.csv
rich0011_n0566_phi155,0.566,15.47,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0011_n0566_phi155_seed1.csv
rich0012_n0567_phi236,0.567,23.61,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0012_n0567_phi236_seed0.csv
rich0012_n0567_phi236,0.567,23.61,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0012_n0567_phi236_seed1.csv
rich0013_n0568_phi238,0.568,23.78,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0013_n0568_phi238_seed0.csv
rich0013_n0568_phi238,0.568,23.78,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0013_n0568_phi238_seed1.csv
rich0014_n0570_phi182,0.570,18.21,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0014_n0570_phi182_seed1.csv
rich0014_n0570_phi182,0.570,18.21,0,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0014_n0570_phi182_seed0.csv
rich0015_n0571_phi164,0.571,16.36,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0015_n0571_phi164_seed0.csv
rich0015_n0571_phi164,0.571,16.36,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0015_n0571_phi164_seed1.csv
rich0016_n0572_phi124,0.572,12.38,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0016_n0572_phi124_seed0.csv
rich0016_n0572_phi124,0.572,12.38,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0016_n0572_phi124_seed1.csv
rich0017_n0573_phi272,0.573,27.25,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0017_n0573_phi272_seed1.csv
rich0017_n0573_phi272,0.573,27.25,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0017_n0573_phi272_seed0.csv
rich0018_n0575_phi254,0.575,25.43,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0018_n0575_phi254_seed0.csv
rich0018_n0575_phi254,0.575,25.43,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0018_n0575_phi254_seed1.csv
rich0019_n0576_phi271,0.576,27.09,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0019_n0576_phi271_seed0.csv
rich0019_n0576_phi271,0.576,27.09,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0019_n0576_phi271_seed1.csv
rich0020_n0577_phi233,0.577,23.26,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0020_n0577_phi233_seed0.csv
rich0020_n0577_phi233,0.577,23.26,1,1,32.9,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0020_n0577_phi233_seed1.csv
rich0021_n0579_phi221,0.579,22.08,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0021_n0579_phi221_seed0.csv
rich0021_n0579_phi221,0.579,22.08,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0021_n0579_phi221_seed1.csv
rich0022_n0580_phi172,0.580,17.21,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0022_n0580_phi172_seed1.csv
rich0022_n0580_phi172,0.580,17.21,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0022_n0580_phi172_seed0.csv
rich0023_n0581_phi127,0.581,12.71,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0023_n0581_phi127_seed0.csv
rich0023_n0581_phi127,0.581,12.71,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0023_n0581_phi127_seed1.csv
rich0024_n0582_phi197,0.582,19.74,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0024_n0582_phi197_seed0.csv
rich0024_n0582_phi197,0.582,19.74,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0024_n0582_phi197_seed1.csv
rich0025_n0584_phi180,0.584,17.96,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0025_n0584_phi180_seed0.csv
rich0025_n0584_phi180,0.584,17.96,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0025_n0584_phi180_seed1.csv
rich0026_n0586_phi125,0.586,12.47,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0026_n0586_phi125_seed0.csv
rich0026_n0586_phi125,0.586,12.47,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0026_n0586_phi125_seed1.csv
rich0027_n0587_phi254,0.587,25.45,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0027_n0587_phi254_seed0.csv
rich0027_n0587_phi254,0.587,25.45,1,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0027_n0587_phi254_seed1.csv
rich0028_n0588_phi259,0.588,25.92,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0028_n0588_phi259_seed1.csv
rich0028_n0588_phi259,0.588,25.92,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0028_n0588_phi259_seed0.csv
rich0029_n0589_phi249,0.589,24.92,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0029_n0589_phi249_seed0.csv
rich0029_n0589_phi249,0.589,24.92,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0029_n0589_phi249_seed1.csv
rich0030_n0591_phi202,0.591,20.15,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0030_n0591_phi202_seed0.csv
rich0030_n0591_phi202,0.591,20.15,1,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0030_n0591_phi202_seed1.csv
rich0031_n0592_phi196,0.592,19.61,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0031_n0592_phi196_seed0.csv
rich0031_n0592_phi196,0.592,19.61,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0031_n0592_phi196_seed1.csv
rich0032_n0594_phi244,0.594,24.35,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0032_n0594_phi244_seed1.csv
rich0032_n0594_phi244,0.594,24.35,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0032_n0594_phi244_seed0.csv
rich0033_n0595_phi202,0.595,20.22,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0033_n0595_phi202_seed0.csv
rich0033_n0595_phi202,0.595,20.22,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0033_n0595_phi202_seed1.csv
rich0034_n0596_phi144,0.596,14.36,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0034_n0596_phi144_seed0.csv
rich0034_n0596_phi144,0.596,14.36,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0034_n0596_phi144_seed1.csv
rich0035_n0597_phi141,0.597,14.12,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0035_n0597_phi141_seed0.csv
