x,y
0.0000,0.0000
0.2500,0.0000
0.5000,0.0000
0.7500,0.0000
1.0000,0.0000
1.2500,0.0000
1.5000,0.0000
1.7500,0.0000
2.0000,0.0000
2.2500,0.0000
2.5000,0.0000
2.7500,0.0000
3.0000,0.0000
3.2500,0.0000
3.5000,0.0000
3.7500,0.0000
4.0000,0.0000
4.2500,0.0000
4.5000,0.0000
4.7500,0.0000
5.0000,0.0000
5.2500,0.0000
5.5000,0.0000
5.7500,0.0000
6.0000,0.0000
6.2500,0.0000
6.5000,0.0000
6.7500,0.0000
7.0000,0.0000
7.2500,0.0000
7.5000,0.0000
7.7500,0.0000
8.0000,0.0000
8.2500,0.0055
8.5000,0.0218
8.7500,0.0481
9.0000,0.0840
9.2500,0.1289
9.5000,0.1822
9.7500,0.2435
10.0000,0.3120
10.2500,0.3873
10.5000,0.4688
10.7500,0.5558
11.0000,0.6480
11.2500,0.7447
11.5000,0.8452
11.7500,0.9492
12.0000,1.0560
12.2500,1.1650
12.5000,1.2758
12.7500,1.3876
13.0000,1.5000
13.2500,1.6124
13.5000,1.7243
13.7500,1.8350
14.0000,1.9440
14.2500,2.0508
14.5000,2.1547
14.7500,2.2553
15.0000,2.3520
15.2500,2.4442
15.5000,2.5312
15.7500,2.6127
16.0000,2.6880
16.2500,2.7565
16.5000,2.8177
16.7500,2.8711
17.0000,2.9160
17.2500,2.9519
17.5000,2.9783
17.7500,2.9945
18.0000,3.0000
18.2500,3.0000
18.5000,3.0000
18.7500,3.0000
19.0000,3.0000
19.2500,3.0000
19.5000,3.0000
19.7500,3.0000
20.0000,3.0000
20.2500,3.0000
20.5000,3.0000
20.7500,3.0000
21.0000,3.0000
21.2500,3.0000
21.5000,3.0000
21.7500,3.0000
22.0000,3.0000
22.2500,3.0000
22.5000,3.0000
22.7500,3.0000
23.0000,3.0000
23.2500,3.0000
23.5000,3.0000
23.7500,3.0000
24.0000,3.0000
24.2500,3.0000
24.5000,3.0000
24.7500,3.0000
25.0000,3.0000
25.2500,3.0000
25.5000,3.0000
25.7500,3.0000
26.0000,3.0000
26.2500,3.0000
26.5000,3.0000
26.7500,3.0000
27.0000,3.0000
27.2500,3.0000
27.5000,3.0000
27.7500,3.0000
28.0000,3.0000
28.2500,2.9945
28.5000,2.9783
28.7500,2.9519
29.0000,2.9160
29.2500,2.8711
29.5000,2.8178
29.7500,2.7565
30.0000,2.6880
30.2500,2.6127
30.5000,2.5312
30.7500,2.4442
31.0000,2.3520
31.2500,2.2553
31.5000,2.1547
31.7500,2.0508
32.0000,1.9440
32.2500,1.8350
32.5000,1.7242
32.7500,1.6124
33.0000,1.5000
33.2500,1.3876
33.5000,1.2757
33.7500,1.1650
34.0000,1.0560
34.2500,0.9492
34.5000,0.8452
34.7500,0.7447
35.0000,0.6480
35.2500,0.5558
35.5000,0.4688
35.7500,0.3873
36.0000,0.3120
36.2500,0.2435
36.5000,0.1823
36.7500,0.1289
37.0000,0.0840
37.2500,0.0481
37.5000,0.0217
37.7500,0.0055
38.0000,0.0000
38.2500,0.0000
38.5000,0.0000
38.7500,0.0000
39.0000,0.0000
39.2500,0.0000
39.5000,0.0000
39.7500,0.0000
40.0000,0.0000
40.2500,0.0000
40.5000,0.0000
40.7500,0.0000
41.0000,0.0000
41.2500,0.0000
41.5000,0.0000
41.7500,0.0000
42.0000,0.0000
42.2500,0.0000
42.5000,0.0000
42.7500,0.0000
43.0000,0.0000
43.2500,0.0000
43.5000,0.0000
43.7500,0.0000
44.0000,0.0000
44.2500,0.0000
44.5000,0.0000
44.7500,0.0000
45.0000,0.0000
45.2500,0.0000
45.5000,0.0000
45.7500,0.0000
46.0000,0.0000
46.2500,0.0000
46.5000,0.0000
46.7500,0.0000
47.0000,0.0000
47.2500,0.0000
47.5000,0.0000
47.7500,0.0000
48.0000,0.0000
48.2500,0.0000
48.5000,0.0000
48.7500,0.0000
49.0000,0.0000
49.2500,0.0000
49.5000,0.0000
49.7500,0.0000
50.0000,0.0000
50.2500,0.0000
50.5000,0.0000
50.7500,0.0000
51.0000,0.0000
51.2500,0.0000
51.5000,0.0000
51.7500,0.0000
52.0000,0.0000
52.2500,0.0000
52.5000,0.0000
52.7500,0.0000
53.0000,0.0000
53.2500,0.0000
53.5000,0.0000
53.7500,0.0000
54.0000,0.0000
54.2500,0.0000
54.5000,0.0000
54.7500,0.0000
55.0000,0.0000
55.2500,0.0000
55.5000,0.0000
55.7500,0.0000
56.0000,0.0000
56.2500,0.0000
56.5000,0.0000
56.7500,0.0000
57.0000,0.0000
57.2500,0.0000
57.5000,0.0000
57.7500,0.0000
58.0000,0.0000
58.2500,0.0000
58.5000,0.0000
58.7500,0.0000
59.0000,0.0000
59.2500,0.0000
59.5000,0.0000
59.7500,0.0000
60.0000,0.0000
60.2500,0.0000
60.5000,0.0000
60.7500,0.0000
61.0000,0.0000
61.2500,0.0000
61.5000,0.0000
61.7500,0.0000
62.0000,0.0000
62.2500,0.0000
62.5000,0.0000
62.7500,0.0000
63.0000,0.0000
63.2500,0.0000
63.5000,0.0000
63.7500,0.0000
64.0000,0.0000
64.2500,0.0000
64.5000,0.0000
64.7500,0.0000
65.0000,0.0000
65.2500,0.0000
65.5000,0.0000
65.7500,0.0000
66.0000,0.0000
66.2500,0.0000
66.5000,0.0000
66.7500,0.0000
67.0000,0.0000
67.2500,0.0000
67.5000,0.0000
67.7500,0.0000
68.0000,0.0000
68.2500,0.0000
68.5000,0.0000
68.7500,0.0000
69.0000,0.0000
69.2500,0.0000
69.5000,0.0000
69.7500,0.0000
70.0000,0.0000
70.2500,0.0000
70.5000,0.0000
70.7500,0.0000
71.0000,0.0000
71.2500,0.0000
71.5000,0.0000
71.7500,0.0000
72.0000,0.0000
72.2500,0.0000
72.5000,0.0000
72.7500,0.0000
73.0000,0.0000
73.2500,0.0000
73.5000,0.0000
73.7500,0.0000
74.0000,0.0000
74.2500,0.0000
74.5000,0.0000
74.7500,0.0000
75.0000,0.0000
75.2500,0.0000
75.5000,0.0000
75.7500,0.0000
76.0000,0.0000
76.2500,0.0000
76.5000,0.0000
76.7500,0.0000
77.0000,0.0000
77.2500,0.0000
77.5000,0.0000
77.7500,0.0000
78.0000,0.0000
78.2500,0.0000
78.5000,0.0000
78.7500,0.0000
79.0000,0.0000
79.2500,0.0000
79.5000,0.0000
79.7500,0.0000
80.0000,0.0000
80.2500,0.0000
80.5000,0.0000
80.7500,0.0000
81.0000,0.0000
81.2500,0.0000
81.5000,0.0000
81.7500,0.0000
82.0000,0.0000
82.2500,0.0000
82.5000,0.0000
82.7500,0.0000
83.0000,0.0000
83.2500,0.0000
83.5000,0.0000
83.7500,0.0000
84.0000,0.0000
84.2500,0.0000
84.5000,0.0000
84.7500,0.0000
85.0000,0.0000
85.2500,0.0000
85.5000,0.0000
85.7500,0.0000
86.0000,0.0000
86.2500,0.0000
86.5000,0.0000
86.7500,0.0000
87.0000,0.0000
87.2500,0.0000
87.5000,0.0000
87.7500,0.0000
88.0000,0.0000
